S.No.,State,Year,Type,Total,Electricity,Kerosene,Solar,Other_Oil,Other,No_lighting
1,Andaman & Nicobar Islands,2011,Urban,34346,33569,662,5,20,11,79
2,Andhra Pradesh,2011,Urban,6778225,6594769,138232,21614,7051,3865,12694
3,Arunachal Pradesh,2011,Urban,65891,63271,2125,44,71,145,235
4,Assam,2011,Urban,992742,834679,150656,2689,1017,802,2899
5,Bihar,2011,Urban,2013671,1343762,648735,5271,5813,6013,4077
6,Chandigarh,2011,Urban,228276,224601,2621,181,124,225,524
7,Chhattisgarh,2011,Urban,1238738,1161062,70728,863,1909,1191,2985
8,Dadra & Nagar Haveli,2011,Urban,37655,37106,511,1,2,5,30
9,Daman & Diu,2011,Urban,47631,47292,277,4,6,25,27
10,Delhi,2011,Urban,3261423,3233443,20594,1556,771,2781,2278
11,Goa,2011,Urban,198139,193553,3510,307,70,201,498
12,Gujarat,2011,Urban,5416315,5263943,114558,2142,5192,5870,24610
13,Haryana,2011,Urban,1751901,1684959,47518,1879,2722,7404,7419
14,Himachal Pradesh,2011,Urban,166043,162886,2694,72,150,128,113
15,Jammu & Kashmir,2011,Urban,517168,507030,6166,553,316,2068,1035
16,Jharkhand,2011,Urban,1495642,1315817,170800,3196,2376,1684,1769
17,Karnataka,2011,Urban,5315715,5125655,163018,5893,4762,3509,12878
18,Kerala,2011,Urban,3620696,3512569,100288,2526,2598,1519,1196
19,Lakshadweep,2011,Urban,8180,8152,17,4043,,,
20,Madhya Pradesh,2011,Urban,3845232,3565500,254906,3814,6302,5476,9234
21,Maharashtra,2011,Urban,10813928,10398865,339327,9083,7208,16220,43225
22,Manipur,2011,Urban,171400,141191,19263,709,524,8920,793
23,Meghalaya,2011,Urban,116102,110219,5097,78,141,186,381
24,Mizoram,2011,Urban,116203,114017,1744,64,109,145,124
25,Nagaland,2011,Urban,115054,112086,2384,94,98,142,250
26,Orissa,2011,Urban,1517073,1260634,231743,2346,1617,1982,18751
27,Pondicherry,2011,Urban,206143,203100,2775,8,86,21,153
28,Punjab,2011,Urban,2094067,2059399,21153,1323,1967,3553,6672
29,Rajasthan,2011,Urban,3090940,2901680,159274,2629,4712,8655,13990
30,Sikkim,2011,Urban,35761,35301,313,12,11,1,123
31,Tamil Nadu,2011,Urban,8929104,8581633,303996,4949,8599,3677,26250
32,Tripura,2011,Urban,235002,215214,16420,2500,328,81,459
33,Uttar Pradesh,2011,Urban,7449195,6065253,1283001,15729,18047,36008,31157
34,Uttaranchal,2011,Urban,592223,571419,17057,478,467,1130,1672
35,West Bengal,2011,Urban,6350113,5405627,807568,78074,12466,8137,38241
-,India,2011,Urban,78865937,73089256,5109731,170690,97652,131784,266824
