S.No.,State,Year,Type,Total,Electricity,Kerosene,Solar,Other_Oil,Other,No_lighting
1,Andaman & Nicobar Islands,2011,Rural,59030,46852,11393,132,243,68,342
2,Andhra Pradesh,2011,Rural,14246309,12782453,1312644,33391,36983,13624,67214
3,Arunachal Pradesh,2011,Rural,195723,108550,46175,7553,767,5357,27321
4,Assam,2011,Rural,5374553,1524221,3782653,46529,7465,3464,10221
5,Bihar,2011,Rural,16926958,1754673,14963756,104118,50421,43027,10963
6,Chandigarh,2011,Rural,6785,6603,162,1667,,,
7,Chhattisgarh,2011,Rural,4384112,3070879,1235592,48935,8554,6499,13653
8,Dadra & Nagar Haveli,2011,Rural,35408,32452,2697,19,8,24,208
9,Daman & Diu,2011,Rural,12750,12532,185,4,1,3,25
10,Delhi,2011,Rural,79115,77366,1136,65,133,246,169
11,Goa,2011,Rural,124674,119208,4287,269,80,55,775
12,Gujarat,2011,Rural,6765403,5749271,869255,13874,20963,19747,92293
13,Haryana,2011,Rural,2966053,2585338,335860,5632,9137,14591,15495
14,Himachal Pradesh,2011,Rural,1310538,1265897,38895,1762,1037,1158,1789
15,Jammu & Kashmir,2011,Rural,1497920,1208527,189124,20260,3969,37710,38330
16,Jharkhand,2011,Rural,4685965,1514050,3113279,41723,11258,3574,2081
17,Karnataka,2011,Rural,7864196,6819812,965641,19187,13426,5244,40886
18,Kerala,2011,Rural,4095674,3772137,304225,10997,4156,2447,1712
19,Lakshadweep,2011,Rural,2523,2517,50010,,,,
20,Madhya Pradesh,2011,Rural,11122365,6479144,4546696,36275,24901,10545,24804
21,Maharashtra,2011,Rural,13016652,9605299,3107049,48506,32422,51490,171886
22,Manipur,2011,Rural,335752,205444,108164,9031,1531,9296,2286
23,Meghalaya,2011,Rural,422197,217739,193949,4224,1401,1116,3768
24,Mizoram,2011,Rural,104874,72138,28159,2872,644,561,500
25,Nagaland,2011,Rural,284911,214319,60106,1163,783,4309,4231
26,Orissa,2011,Rural,8144012,2895252,5113827,31870,8464,8696,85903
27,Pondicherry,2011,Rural,95133,91105,3387,22,113,22,484
28,Punjab,2011,Rural,3315632,3166394,96149,4431,6832,11302,30524
29,Rajasthan,2011,Rural,9490363,5528360,3729431,75583,36127,29467,91395
30,Sikkim,2011,Rural,92370,83277,8075,293,116,82,527
31,Tamil Nadu,2011,Rural,9563899,8683426,791493,8720,19254,5294,55712
32,Tripura,2011,Rural,607779,361573,228953,13368,1470,268,2147
33,Uttar Pradesh,2011,Rural,25475071,6054978,19111021,141108,72589,59296,36079
34,Uttaranchal,2011,Rural,1404845,1166756,204149,23789,2691,2750,4710
35,West Bengal,2011,Rural,13717186,5529496,7927731,160497,29974,10168,59320
-,India,2011,Rural,167826730,92808038,72435303,916203,407919,361507,897760
